name_date,vmax
IVO_2007-09-24,0.837158203125
LORENA_2019-09-20,2.8974609375
UNNAMED_1986-09-03,0.83740234375
UNNAMED_1994-09-26,0.0
NORMAN_2012-09-28,2.5830078125
HENRIETTE_1995-09-04,4.689208984375
LORENA_2013-09-06,1.66357421875
ODILE_2014-09-15,6.371337890625
PAINE_2016-09-21,1.0185546875
MIRIAM_2006-09-21,0.53369140625
FELIX_2007-09-05,0.0
NORMAN_2000-09-20,2.451171875
JAVIER_1998-09-13,3.222900390625
DOLLY_2014-09-02,0.85986328125
ISELLE_2002-09-19,1.035888671875
GERT_1993-09-20,4.072021484375
GREG_1999-09-07,3.174072265625
LESTER_2022-09-17,2.561767578125
UNNAMED_1999-09-06,0.872314453125
KAY_2022-09-08,6.96630859375
UNNAMED_2013-09-06,1.3896484375
ISIS_1998-09-02,2.981201171875
INGRID_2013-09-16,3.716796875
FAY_2002-09-08,0.0
WILLA_2018-10-23,4.7637939453125
ORLENE_2022-10-03,3.32958984375
HANNA_2014-10-22,0.9248046875
JERRY_1989-10-12,0.97802734375
PAMELA_2021-10-13,5.99365234375
RICK_2009-10-21,6.36767578125
SERGIO_2018-10-12,4.004638671875
ROSA_1994-10-14,3.65283203125
OTIS_2023-10-25,4.309814453125
UNNAMED_2019-10-16,2.312744140625
ZETA_2020-10-27,7.188720703125
KARL_2022-10-14,1.62646484375
NORBERT_2008-10-11,4.97607421875
LIDIA_2023-10-11,4.195068359375
OLAF_2009-10-04,2.139404296875
LARRY_2003-10-04,5.0233154296875
UNNAMED_1999-10-04,1.751953125
SIMON_2014-10-07,5.17822265625
PATRICIA_2015-10-23,5.773193359375
WILMA_2005-10-21,10.44970703125
OCTAVE_2013-10-14,3.886962890625
NORMA_2023-10-21,7.677490234375
GAMMA_2020-10-03,3.80859375
DELTA_2020-10-07,2.947509765625
ODILE_2008-10-10,2.97216796875
NADINE_2024-10-19,2.3447265625
NATE_2017-10-07,2.7744140625
OLAF_2003-10-07,1.646484375
RINA_2011-10-27,3.193115234375
PAULA_2010-10-13,1.495849609375
